Rank,Puzzles,AMT_(s),Solved_rate,1-sigma_Mean_(s),1-sigma_STD_(s)
1--1--4--6,4.35,99.2%
1--1--3--8,4.4,99.2%
1--1--11--11,4.4,99.6%
1--1--1--8,4.45,98.8%
6--6--6--6,4.55,99.5%
1--1--2--12,4.61,99.2%
1--2--2--6,4.77,99.3%
1--1--10--12,4.79,98.9%
1--1--1--12,4.81,99.3%
2--2--10--10,4.82,98.2%
1--1--2--8,4.94,97.8%
1--1--12--12,4.99,99.3%
2--2--2--12,4.99,99.2%
1--1--3--12,5.01,97.5%
1--1--5--8,5.02,96.6%
4--6--11--11,5.03,99%
1--1--2--6,5.04,98.6%
1--1--4--8,5.04,98.2%
1--1--2--11,5.06,99%
1--1--4--12,5.06,97.4%
3--3--3--8,5.06,98.2%
1--1--13--13,5.14,99.4%
11--11--12--12,5.14,98.8%
1--2--3--4,5.15,99.2%
3--7--7--8,5.17,96.7%
1--1--2--13,5.18,98.8%
1--1--3--9,5.18,97.1%
1--2--4--12,5.18,97.7%
1--1--5--6,5.19,97%
4--6--7--7,5.19,98.7%
1--1--3--6,5.2,97.9%
7--7--12--12,5.2,98.6%
1--1--11--13,5.21,99.1%
4--6--13--13,5.25,98.8%
1--1--11--12,5.26,99.4%
4--5--12--12,5.26,97.2%
1--1--1--11,5.27,97.5%
1--6--6--12,5.27,98.9%
4--4--4--6,5.28,98.2%
1--8--8--8,5.29,97.9%
12--12--12--12,5.29,99.4%
2--2--3--8,5.3,98.2%
2--7--7--12,5.31,98.8%
11--11--11--12,5.33,95.1%
2--11--11--12,5.34,97.2%
10--10--12--12,5.34,98.6%
1--1--5--5,5.35,99.1%
1--5--7--12,5.35,98.4%
2--9--9--12,5.35,97.5%
8--8--12--12,5.38,98.6%
9--9--12--12,5.38,98.4%
3--8--13--13,5.39,95.1%
3--3--12--12,5.4,98.8%
3--8--11--11,5.4,96.3%
12--12--13--13,5.4,98.8%
1--6--8--12,5.41,97%
3--8--10--10,5.41,95.6%
5--6--12--12,5.42,97.3%
3--8--9--9,5.43,97%
5--5--12--12,5.43,98.8%
11--12--12--12,5.43,98%
1--1--4--5,5.44,97.9%
1--1--12--13,5.45,98.8%
2--3--3--12,5.47,98.6%
2--5--5--12,5.47,98.8%
1--9--9--12,5.48,95.8%
3--4--4--8,5.48,98.4%
1--1--3--7,5.49,97.1%
1--3--5--12,5.49,96.6%
1--4--10--10,5.5,97.9%
2--12--13--13,5.5,97.2%
7--7--11--12,5.5,93.9%
4--4--12--12,5.51,98.7%
5--5--11--12,5.53,96.5%
1--2--5--8,5.54,95.9%
1--1--1--13,5.55,97.4%
1--3--4--12,5.55,98.6%
1--8--9--12,5.56,96.4%
2--2--4--6,5.57,99.1%
2--3--12--12,5.57,97.4%
3--5--5--8,5.57,97%
6--7--12--12,5.57,95.8%
11--11--11--13,5.57,98.4%
1--3--10--10,5.58,97.5%
1--4--7--12,5.58,98.4%
1--1--4--7,5.59,97.3%
4--6--6--6,5.6,98.5%
1--6--7--12,5.61,98.6%
2--3--3--8,5.61,97%
1--3--3--4,5.62,97.6%
1--8--8--12,5.62,96.3%
4--5--5--6,5.64,97.5%
8--8--11--13,5.64,97.1%
9--9--11--12,5.64,94.1%
3--7--8--8,5.65,96.4%
2--7--7--8,5.66,96.9%
4--5--11--12,5.66,97.5%
5--5--7--7,5.66,97.9%
1--6--9--12,5.68,95.6%
1--1--2--10,5.69,95.7%
3--3--4--6,5.69,97.8%
3--3--11--12,5.69,94.7%
1--2--5--12,5.7,95.5%
2--2--2--3,5.7,99%
4--4--11--13,5.71,98%
1--1--10--13,5.72,98%
1--7--9--12,5.72,96.2%
1--2--2--10,5.73,96.5%
3--6--11--11,5.73,94.6%
7--8--12--12,5.73,96%
1--2--2--12,5.74,97.8%
3--7--7--7,5.75,97.7%
6--6--12--12,5.75,98.3%
1--6--6--11,5.76,98.3%
1--7--7--10,5.76,98%
3--8--8--8,5.76,97.6%
4--8--11--11,5.76,95.3%
1--5--6--12,5.77,98.6%
2--2--12--12,5.77,98.6%
4--4--11--12,5.77,91.9%
2--2--3--12,5.78,98.2%
12--12--12--13,5.79,97.5%
2--8--9--9,5.8,96.5%
6--6--11--13,5.8,98%
4--6--9--9,5.81,96.5%
8--9--12--12,5.81,96.3%
3--4--4--6,5.82,97.5%
9--9--11--13,5.83,96.9%
11--13--13--13,5.85,97.9%
1--4--4--12,5.86,95.8%
4--6--6--7,5.87,96.5%
7--7--11--13,5.87,97.6%
2--10--10--12,5.88,97.2%
3--8--12--13,5.88,96.1%
1--5--8--8,5.89,95%
5--6--11--12,5.89,97.2%
2--4--4--12,5.9,98.5%
1--4--8--12,5.91,97.6%
1--8--10--12,5.92,95.9%
2--4--11--11,5.92,96.3%
4--5--12--13,5.92,97.7%
1--3--6--12,5.93,96.8%
1--4--6--12,5.93,96.8%
3--6--13--13,5.93,94.5%
3--8--10--11,5.94,94.5%
1--4--5--12,5.95,95.8%
3--6--7--7,5.95,93.5%
4--6--8--8,5.95,97%
1--12--13--13,5.96,94.5%
3--4--11--13,5.96,96.6%
3--6--6--8,5.96,97.1%
4--6--10--11,5.96,94.5%
1--11--11--12,5.97,93.7%
4--8--10--10,5.97,97.3%
6--6--10--13,5.97,93.8%
1--2--11--11,5.98,97.4%
9--10--12--12,5.98,95.9%
1--2--4--4,6,97.2%
1--2--6--6,6,97.7%
1--3--3--12,6,95.5%
1--1--3--13,6.01,95.2%
1--6--7--10,6.01,98.5%
2--8--10--10,6.01,95.6%
4--6--10--10,6.01,96.7%
10--10--11--13,6.01,97.5%
1--3--6--8,6.02,95.8%
1--5--7--11,6.02,98.6%
1--7--8--9,6.02,97.3%
1--7--8--10,6.02,97.7%
2--8--8--12,6.02,97.5%
5--5--5--5,6.02,95.3%
3--7--10--10,6.03,97.2%
1--2--10--12,6.04,97.5%
1--5--8--12,6.04,98.3%
1--10--10--12,6.04,92.6%
1--2--6--12,6.05,97%
2--2--11--13,6.05,98.1%
3--4--12--12,6.05,94.8%
4--8--13--13,6.05,94.6%
10--11--12--12,6.05,96.2%
1--1--4--4,6.06,94.7%
1--6--12--12,6.06,94.4%
4--5--5--5,6.08,97.7%
4--7--7--8,6.09,93.9%
5--6--12--13,6.09,97.5%
3--8--12--12,6.11,96.7%
3--3--4--8,6.12,96.4%
1--1--6--6,6.13,97.4%
2--11--12--12,6.13,95.7%
3--9--9--9,6.13,97.6%
1--3--9--12,6.14,96.5%
1--6--8--9,6.15,98.3%
1--1--3--4,6.16,98.2%
1--2--6--8,6.16,96.2%
2--2--11--12,6.16,92.6%
1--2--3--10,6.17,98.4%
1--7--7--12,6.17,89.1%
3--3--3--12,6.17,97%
1--2--4--8,6.18,96.6%
5--5--12--13,6.18,95.6%
2--8--13--13,6.19,90.3%
1--1--9--13,6.2,97.3%
1--5--7--13,6.2,97.9%
1--7--8--8,6.2,96.7%
3--3--11--13,6.2,97.1%
8--8--11--12,6.2,91%
1--5--5--12,6.21,90.2%
3--8--11--12,6.21,94.3%
10--13--13--13,6.21,93.6%
5--5--11--13,6.22,96.3%
2--11--11--11,6.23,89.6%
5--5--5--6,6.23,96.4%
1--2--13--13,6.24,97.4%
2--2--4--5,6.24,98.4%
1--1--5--7,6.26,96.6%
1--4--7--8,6.26,96.6%
3--3--3--6,6.26,97.8%
3--11--11--12,6.26,91.5%
10--10--11--12,6.26,93.4%
1--2--3--8,6.27,97.1%
1--8--10--13,6.27,94.8%
2--13--13--13,6.27,90.8%
7--7--12--13,6.27,93.8%
2--2--2--8,6.28,96.3%
11--12--13--13,6.28,95.3%
2--3--11--12,6.29,95%
1--4--6--8,6.3,94.9%
1--5--10--10,6.3,97.3%
4--4--5--6,6.3,95.9%
1--3--11--11,6.31,97.3%
9--9--12--13,6.32,94%
1--4--8--8,6.33,96.8%
1--10--12--12,6.33,95.9%
6--7--11--12,6.33,97%
1--2--3--12,6.35,96.3%
1--2--10--11,6.36,97.6%
1--2--12--12,6.37,96.3%
2--7--8--12,6.37,95.3%
3--6--7--8,6.37,97.9%
1--2--2--8,6.38,93.4%
4--4--10--13,6.38,93.6%
4--8--9--9,6.38,90.5%
7--9--11--11,6.38,95.7%
1--4--4--5,6.41,96.7%
1--5--8--9,6.41,94.4%
1--2--8--8,6.42,96.2%
6--6--11--12,6.42,89.3%
2--12--12--12,6.43,98.4%
2--12--12--13,6.43,95.7%
4--7--12--12,6.44,88.5%
1--8--8--9,6.45,96.5%
4--6--12--13,6.45,93.8%
1--3--8--9,6.46,92.2%
2--5--6--12,6.46,95.5%
10--10--10--13,6.46,93.2%
1--1--3--11,6.47,94.7%
1--4--12--12,6.47,91.4%
1--5--7--8,6.48,94.9%
1--6--6--13,6.48,97.5%
2--6--6--12,6.48,97.7%
3--6--10--11,6.48,96%
3--12--13--13,6.48,91.2%
1--6--9--9,6.49,97.5%
12--13--13--13,6.49,94.8%
1--3--6--6,6.5,97.3%
2--8--11--11,6.5,88.8%
4--5--6--6,6.5,95.4%
10--11--11--13,6.5,94.9%
1--2--4--6,6.51,96.1%
